SMEs,Location,Activity,"Turnover January,2018 (Pounds in millions)","Pre-tax Profit January,2018 (Pounds in millions)",Tax 2018 (Pounds in millions) ,"No of Employee January,2018","Turnover Febuary,2018 (Pounds in millions)","Pre-tax Profit Febuary,2018 (Pounds in millions)","Tax Febuary,2018 (Pounds in millions)","No of Employee Febuary,2018","Turnover March,2018 (Pounds in millions)","Pre-tax Profit March,2018 (Pounds in millions)","Tax March,2018 (Pounds in millions)","No of Employee March,2018","Pre-tax Profit April,2018 (Pounds in millions)","Tax April,2018 (Pounds in millions)","No of Employee April,2018","Turnover May,2018 (Pounds in millions)","Pre-tax Profit May,2018 (Pounds in millions)","Tax May,2018 (Pounds in millions)","No of Employee May,2018","Turnover June,2018 (Pounds in millions)","Pre-tax Profit June,2018 (Pounds in millions)","Tax June,2018 (Pounds in millions)","No of Employee June,2018","Turnover July,2018 (Pounds in millions)","Pre-tax Profit July,2018 (Pounds in millions)","Tax July,2018 (Pounds in millions)","No of Employee July,2018","Turnover August,2018 (Pounds in millions)","Pre-tax Profit August,2018 (Pounds in millions)","Tax August,2018 (Pounds in millions)","No of Employee August,2018","Turnover September,2018 (Pounds in millions)","Pre-tax Profit September,2018 (Pounds in millions)","Tax September,2018 (Pounds in millions)","No of Employee September,2018","Turnover October,2018 (Pounds in millions)","Pre-tax Profit October,2018 (Pounds in millions)","Tax October,2018 (Pounds in millions)","No of Employee October,2018","Turnover November,2018 (Pounds in millions)","Pre-tax Profit November,2018 (Pounds in millions)","Tax November,2018 (Pounds in millions)","No of Employee November,2018","Turnover December,2018 (Pounds in millions)","Pre-tax Profit December,2018 (Pounds in millions)","Tax December,2018 (Pounds in millions)"
CCP BUILDING PRODUCTS,Wrexham,Building products,12.2,0.7,0.09,25,12.57,0.77,0.15,25,13.05,0.85,0.17,25,0.77,0.15,25,14.03,0.81,0.16,25,14.52,0.79,0.16,27,15.13,0.79,0.16,27,15.62,0.77,0.15,27,15.86,0.81,0.16,27,16.35,0.77,0.15,27,16.47,0.79,0.16,27,16.8,0.81,0.16
EVANS WILSON AND EVANS,Caernarfon,Construction and civil engineering,8.1,1.5,0.2,76,8.34,1.65,0.33,76,8.67,1.82,0.36,76,1.65,0.33,76,9.32,1.73,0.35,76,9.64,1.68,0.34,78,10.04,1.69,0.34,78,10.37,1.65,0.33,78,10.53,1.73,0.35,78,10.85,1.65,0.33,78,10.94,1.68,0.34,78,11.15,1.73,0.35
WE DOWDS (SHIPPING),Newport,Cargo handling,9.6,0.8,0.1,43,9.89,0.88,0.18,43,10.27,0.97,0.19,43,0.88,0.18,43,11.04,0.92,0.18,43,11.42,0.9,0.18,45,11.9,0.9,0.18,45,12.29,0.88,0.18,45,12.48,0.92,0.18,45,12.86,0.88,0.18,45,12.96,0.9,0.18,45,13.22,0.92,0.18
GTS FLEXIBLE MATERIALS,Ebbw Vale,Flexible laminates and related products,8.1,1.2,0.16,56,8.34,1.32,0.26,56,8.67,1.45,0.29,56,1.32,0.26,56,9.32,1.39,0.28,56,9.64,1.35,0.27,58,10.04,1.35,0.27,58,10.37,1.32,0.26,58,10.53,1.39,0.28,58,10.85,1.32,0.26,58,10.94,1.35,0.27,58,11.15,1.39,0.28
JONES ENVIRONMENTAL FORENSICS,Deeside,Oil and environmental analysis,7.4,1.3,0.17,45,7.62,1.43,0.29,45,7.92,1.57,0.31,45,1.43,0.29,45,8.51,1.5,0.3,45,8.81,1.46,0.29,47,9.18,1.46,0.29,47,9.47,1.43,0.29,47,9.62,1.5,0.3,47,9.92,1.43,0.29,47,9.99,1.46,0.29,47,10.19,1.5,0.3
CAMBRIAN LODGES,Porthmadog,Timber-frame lodges,9,0.6,0.08,32,9.27,0.66,0.13,32,9.63,0.73,0.15,32,0.66,0.13,32,10.35,0.69,0.14,32,10.71,0.67,0.13,34,11.16,0.67,0.13,34,11.52,0.66,0.13,34,11.7,0.69,0.14,34,12.06,0.66,0.13,34,12.15,0.67,0.13,34,12.39,0.69,0.14
CELTIC ENGINEERING,Pembroke Dock,Mechanical engineering,14.8,1.3,0.17,43,15.24,1.43,0.29,43,15.84,1.57,0.31,43,1.43,0.29,43,17.02,1.5,0.3,43,17.61,1.46,0.29,45,18.35,1.46,0.29,45,18.94,1.43,0.29,45,19.24,1.5,0.3,45,19.83,1.43,0.29,45,19.98,1.46,0.29,45,20.38,1.5,0.3
JOHN THOMAS (ABERAERON),Aberaeron,Supermarkets and garages,15,0.9,0.12,34,15.45,0.99,0.2,34,16.05,1.09,0.22,34,0.99,0.2,34,17.25,1.04,0.21,34,17.85,1.01,0.2,36,18.6,1.01,0.2,36,19.2,0.99,0.2,36,19.5,1.04,0.21,36,20.1,0.99,0.2,36,20.25,1.01,0.2,36,20.66,1.04,0.21
CLWYDIAN,Wrexham,Rubber compounds,12.4,1,0.13,40,12.77,1.1,0.22,40,13.27,1.21,0.24,40,1.1,0.22,40,14.26,1.16,0.23,40,14.76,1.12,0.22,42,15.38,1.12,0.22,42,15.87,1.1,0.22,42,16.12,1.16,0.23,42,16.62,1.1,0.22,42,16.74,1.12,0.22,42,17.07,1.16,0.23
FIBRAX,Wrexham,Motor and bicycle components,14,0.6,0.08,22,14.42,0.66,0.13,22,14.98,0.73,0.15,22,0.66,0.13,22,16.1,0.69,0.14,22,16.66,0.67,0.13,24,17.36,0.67,0.13,24,17.92,0.66,0.13,24,18.2,0.69,0.14,24,18.76,0.66,0.13,24,18.9,0.67,0.13,24,19.28,0.69,0.14
MARCO GEARING,Llangefni,Cable management products,9.2,1.3,0.17,67,9.48,1.43,0.29,67,9.84,1.57,0.31,67,1.43,0.29,67,10.58,1.5,0.3,67,10.95,1.46,0.29,69,11.41,1.46,0.29,69,11.78,1.43,0.29,69,11.96,1.5,0.3,69,12.33,1.43,0.29,69,12.42,1.46,0.29,69,12.67,1.5,0.3
PRINCES GATE WATER,Narberth,Bottled and drinking water,10.6,0.7,0.09,31,10.92,0.77,0.15,31,11.34,0.85,0.17,31,0.77,0.15,31,12.19,0.81,0.16,31,12.61,0.79,0.16,33,13.14,0.79,0.16,33,13.57,0.77,0.15,33,13.78,0.81,0.16,33,14.2,0.77,0.15,33,14.31,0.79,0.16,33,14.6,0.81,0.16
COMVERGENT,Chester,"Telecommunications, consulting and engineering",13.5,0.4,0.05,20,13.91,0.44,0.09,20,14.45,0.48,0.1,20,0.44,0.09,20,15.53,0.46,0.09,20,16.07,0.45,0.09,22,16.74,0.45,0.09,22,17.28,0.44,0.09,22,17.55,0.46,0.09,22,18.09,0.44,0.09,22,18.23,0.45,0.09,22,18.59,0.46,0.09
JOHN COLLINS & PARTNERS,Swansea,Legal services,7.2,1.8,0.23,73,7.42,1.98,0.4,73,7.7,2.18,0.44,73,1.98,0.4,73,8.28,2.08,0.42,73,8.57,2.02,0.4,75,8.93,2.02,0.4,75,9.22,1.98,0.4,75,9.36,2.08,0.42,75,9.65,1.98,0.4,75,9.72,2.02,0.4,75,9.91,2.08,0.42
BRADLEYS' PROPERTIES,Newtown,"Vehicle retailing and repair, filling stations and shops",13.6,0.3,0.04,22,14.01,0.33,0.07,22,14.55,0.36,0.07,22,0.33,0.07,22,15.64,0.35,0.07,22,16.18,0.34,0.07,24,16.86,0.34,0.07,24,17.41,0.33,0.07,24,17.68,0.35,0.07,24,18.22,0.33,0.07,24,18.36,0.34,0.07,24,18.73,0.35,0.07
DM BEVAN,Cardiff,"Construction, bricks and machine tool service",10.5,0.5,0.07,18,10.82,0.55,0.11,18,11.24,0.61,0.12,18,0.55,0.11,18,12.08,0.58,0.12,18,12.5,0.56,0.11,20,13.02,0.56,0.11,20,13.44,0.55,0.11,20,13.65,0.58,0.12,20,14.07,0.55,0.11,20,14.18,0.56,0.11,20,14.46,0.58,0.12
CLOGAU GOLD OF WALES,Rhyl,Jewellery,12.5,2.4,0.31,89,12.88,2.64,0.53,89,13.38,2.9,0.58,89,2.64,0.53,89,14.38,2.77,0.55,89,14.88,2.69,0.54,91,15.5,2.7,0.54,91,16,2.65,0.53,91,16.25,2.77,0.55,91,16.75,2.64,0.53,91,16.88,2.69,0.54,91,17.21,2.77,0.55
GREENTHUMB,St Asaph,Lawn services,13.8,1.1,0.14,52,14.21,1.21,0.24,52,14.77,1.33,0.27,52,1.21,0.24,52,15.87,1.27,0.25,52,16.42,1.23,0.25,54,17.11,1.24,0.25,54,17.66,1.21,0.24,54,17.94,1.27,0.25,54,18.49,1.21,0.24,54,18.63,1.23,0.25,54,19,1.27,0.25
FLAME HOMEWARE,Rhyl,Gift retail & wholesale,12.3,1,0.13,60,12.67,1.1,0.22,60,13.16,1.21,0.24,60,1.1,0.22,60,14.15,1.16,0.23,60,14.64,1.12,0.22,62,15.25,1.12,0.22,62,15.74,1.1,0.22,62,15.99,1.16,0.23,62,16.48,1.1,0.22,62,16.61,1.12,0.22,62,16.94,1.16,0.23
MMR,Llanelli,"Labour, security, plant and transport services",12.1,0.8,0.1,47,12.46,0.88,0.18,47,12.95,0.97,0.19,47,0.88,0.18,47,13.92,0.92,0.18,47,14.4,0.9,0.18,49,15,0.9,0.18,49,15.49,0.88,0.18,49,15.73,0.92,0.18,49,16.21,0.88,0.18,49,16.34,0.9,0.18,49,16.66,0.92,0.18
KJ SERVICES,Tredegar,"Heavy plant, and aggregate materials",10.6,0.9,0.12,43,10.92,0.99,0.2,43,11.34,1.09,0.22,43,0.99,0.2,43,12.19,1.04,0.21,43,12.61,1.01,0.2,45,13.14,1.01,0.2,45,13.57,0.99,0.2,45,13.78,1.04,0.21,45,14.2,0.99,0.2,45,14.31,1.01,0.2,45,14.6,1.04,0.21
COMPOSITE METAL FLOORING,Chepstow,Steel floor decking,10.1,0.8,0.1,23,10.4,0.88,0.18,23,10.81,0.97,0.19,23,0.88,0.18,23,11.62,0.92,0.18,23,12.02,0.9,0.18,25,12.52,0.9,0.18,25,12.93,0.88,0.18,25,13.13,0.92,0.18,25,13.53,0.88,0.18,25,13.64,0.9,0.18,25,13.91,0.92,0.18
FAMILY FINANCE,Tredegar,Credit finance and retail,7.8,1.5,0.2,57,8.03,1.65,0.33,57,8.35,1.82,0.36,57,1.65,0.33,57,8.97,1.73,0.35,57,9.28,1.68,0.34,59,9.67,1.69,0.34,59,9.98,1.65,0.33,59,10.14,1.73,0.35,59,10.45,1.65,0.33,59,10.53,1.68,0.34,59,10.74,1.73,0.35
CWMTILLERY GLASS CENTRE,Newport,Glass products,9.8,0.7,0.09,42,10.09,0.77,0.15,42,10.49,0.85,0.17,42,0.77,0.15,42,11.27,0.81,0.16,42,11.66,0.79,0.16,44,12.15,0.79,0.16,44,12.54,0.77,0.15,44,12.74,0.81,0.16,44,13.13,0.77,0.15,44,13.23,0.79,0.16,44,13.49,0.81,0.16
ALTARVEST,Swansea,Property and electrical wiring harnesses,7.8,1.1,0.14,35,8.03,1.21,0.24,35,8.35,1.33,0.27,35,1.21,0.24,35,8.97,1.27,0.25,35,9.28,1.23,0.25,37,9.67,1.24,0.25,37,9.98,1.21,0.24,37,10.14,1.27,0.25,37,10.45,1.21,0.24,37,10.53,1.23,0.25,37,10.74,1.27,0.25
COWINDALE FEEDS,Carmarthen,"Food for animals, grain and seeds",12.2,0.3,0.04,22,12.57,0.33,0.07,22,13.05,0.36,0.07,22,0.33,0.07,22,14.03,0.35,0.07,22,14.52,0.34,0.07,24,15.13,0.34,0.07,24,15.62,0.33,0.07,24,15.86,0.35,0.07,24,16.35,0.33,0.07,24,16.47,0.34,0.07,24,16.8,0.35,0.07
TDKP,Wrexham,Telephone and virtual reception service,13.5,2.1,0.27,56,13.91,2.31,0.46,56,14.45,2.54,0.51,56,2.31,0.46,56,15.53,2.43,0.49,56,16.07,2.36,0.47,58,16.74,2.36,0.47,58,17.28,2.31,0.46,58,17.55,2.43,0.49,58,18.09,2.31,0.46,58,18.23,2.36,0.47,58,18.59,2.43,0.49
CRIPPETTS (T/A SCI-MX Nutrition),Bridgend,Sports nutrition distributor,233.9,1.2,0.16,33,240.92,1.32,0.26,33,250.27,1.45,0.29,33,1.32,0.26,33,268.99,1.39,0.28,33,278.34,1.35,0.27,35,290.04,1.35,0.27,35,299.39,1.32,0.26,35,304.07,1.39,0.28,35,313.43,1.32,0.26,35,315.77,1.35,0.27,35,322.08,1.39,0.28
TEMPO INSULATION SERVICES,Rhyl,Mobile home services,11.7,1.1,0.14,53,12.05,1.21,0.24,53,12.52,1.33,0.27,53,1.21,0.24,53,13.46,1.27,0.25,53,13.92,1.23,0.25,55,14.51,1.24,0.25,55,14.98,1.21,0.24,55,15.21,1.27,0.25,55,15.68,1.21,0.24,55,15.8,1.23,0.25,55,16.11,1.27,0.25
FRANK SUTTON,Usk,Maintenance of agricultural machinery,14.2,0.6,0.08,32,14.63,0.66,0.13,32,15.19,0.73,0.15,32,0.66,0.13,32,16.33,0.69,0.14,32,16.9,0.67,0.13,34,17.61,0.67,0.13,34,18.18,0.66,0.13,34,18.46,0.69,0.14,34,19.03,0.66,0.13,34,19.17,0.67,0.13,34,19.55,0.69,0.14
JENNINGS BUILDING & CIVIL ENGINEERING,Colwyn Bay,Contracting and construction equipment hire,12.1,0.7,0.09,23,12.46,0.77,0.15,23,12.95,0.85,0.17,23,0.77,0.15,23,13.92,0.81,0.16,23,14.4,0.79,0.16,25,15,0.79,0.16,25,15.49,0.77,0.15,25,15.73,0.81,0.16,25,16.21,0.77,0.15,25,16.34,0.79,0.16,25,16.66,0.81,0.16
DINGLE NURSERIES,Welshpool,"Arboriculture, horticulture and garden centre",9.1,1.1,0.14,45,9.37,1.21,0.24,45,9.74,1.33,0.27,45,1.21,0.24,45,10.47,1.27,0.25,45,10.83,1.23,0.25,47,11.28,1.24,0.25,47,11.65,1.21,0.24,47,11.83,1.27,0.25,47,12.19,1.21,0.24,47,12.29,1.23,0.25,47,12.53,1.27,0.25
SHINE FOOD MACHINERY,Newport,Commercial catering equipment,11.6,0.5,0.07,23,11.95,0.55,0.11,23,12.41,0.61,0.12,23,0.55,0.11,23,13.34,0.58,0.12,23,13.8,0.56,0.11,25,14.38,0.56,0.11,25,14.85,0.55,0.11,25,15.08,0.58,0.12,25,15.54,0.55,0.11,25,15.66,0.56,0.11,25,15.97,0.58,0.12
GERRY JONES TRANSPORT SERVICES,Newport,Road haulage and distribution,10.1,0.6,0.08,34,10.4,0.66,0.13,34,10.81,0.73,0.15,34,0.66,0.13,34,11.62,0.69,0.14,34,12.02,0.67,0.13,36,12.52,0.67,0.13,36,12.93,0.66,0.13,36,13.13,0.69,0.14,36,13.53,0.66,0.13,36,13.64,0.67,0.13,36,13.91,0.69,0.14
NHC,Denbigh,Sale of massage equipment,13.5,0.3,0.04,22,13.91,0.33,0.07,22,14.45,0.36,0.07,22,0.33,0.07,22,15.53,0.35,0.07,22,16.07,0.34,0.07,24,16.74,0.34,0.07,24,17.28,0.33,0.07,24,17.55,0.35,0.07,24,18.09,0.33,0.07,24,18.23,0.34,0.07,24,18.59,0.35,0.07
HAYES (WALES),Cardiff,Property and metal manufacturing,9.3,0.6,0.08,34,9.58,0.66,0.13,34,9.95,0.73,0.15,34,0.66,0.13,34,10.7,0.69,0.14,34,11.07,0.67,0.13,36,11.53,0.67,0.13,36,11.9,0.66,0.13,36,12.09,0.69,0.14,36,12.46,0.66,0.13,36,12.56,0.67,0.13,36,12.81,0.69,0.14
Glass Recycling,Barnsley,Recovery and treatment of waste products,15926,5076,659.88,56,16403.78,5583.6,1116.72,56,17040.82,6141.96,1228.39,56,5583.6,1116.72,56,18314.9,5862.78,1172.56,56,18951.94,5695.27,1139.05,58,19748.24,5706.66,1141.33,58,20385.28,5594.77,1118.95,58,20703.8,5862.78,1172.56,58,21340.84,5583.6,1116.72,58,21500.1,5695.27,1139.05,58,21930.1,5866.13,1173.23
Moorhen,Chesterfiel,Roofing and cladding material manufacturers and distributors,26152,4680,608.4,57,26936.56,5148,1029.6,57,27982.64,5662.8,1132.56,57,5148,1029.6,57,30074.8,5405.4,1081.08,57,31120.88,5250.96,1050.19,59,32428.48,5261.46,1052.29,59,33474.56,5158.3,1031.66,59,33997.6,5405.4,1081.08,59,35043.68,5148,1029.6,59,35305.2,5250.96,1050.19,59,36011.3,5408.49,1081.7
Haywood And Padgett,Barnsley,Production of wholesale bakery products,27463,4366,567.58,147,28286.89,4802.6,960.52,147,29385.41,5282.86,1056.57,147,4802.6,960.52,147,31582.45,5042.73,1008.55,147,32680.97,4898.65,979.73,149,34054.12,4908.45,981.69,149,35152.64,4812.21,962.44,149,35701.9,5042.73,1008.55,149,36800.42,4802.6,960.52,149,37075.05,4898.65,979.73,149,37816.55,5045.61,1009.12
Derbyshire Aggregates,Bakewell,"Supply of rocks, stone and aggregates to the construction industry",20543,4140,538.2,58,21159.29,4554,910.8,58,21981.01,5009.4,1001.88,58,4554,910.8,58,23624.45,4781.7,956.34,58,24446.17,4645.08,929.02,60,25473.32,4654.37,930.87,60,26295.04,4563.11,912.62,60,26705.9,4781.7,956.34,60,27527.62,4554,910.8,60,27733.05,4645.08,929.02,60,28287.71,4784.43,956.89
1 SCX Special Projects,Sheffield,Design and manufacture of materials handling and access equipment,28402,4079,530.27,69,29254.06,4486.9,897.38,69,30390.14,4935.59,987.12,69,4486.9,897.38,69,32662.3,4711.25,942.25,69,33798.38,4576.64,915.33,71,35218.48,4585.79,917.16,71,36354.56,4495.87,899.17,71,36922.6,4711.25,942.25,71,38058.68,4486.9,897.38,71,38342.7,4576.64,915.33,71,39109.55,4713.94,942.79
Clear Line,Sheffield,Installation and maintenance of curtain wall facades,19632,3967,515.71,53,20220.96,4363.7,872.74,53,21006.24,4800.07,960.01,53,4363.7,872.74,53,22576.8,4581.89,916.38,53,23362.08,4450.97,890.19,55,24343.68,4459.88,891.98,55,25128.96,4372.43,874.49,55,25521.6,4581.89,916.38,55,26306.88,4363.7,872.74,55,26503.2,4450.97,890.19,55,27033.26,4584.5,916.9
Clee Hill Plant,Chesterfield,Provision of plant for hire to the civil engineering industry,18126,3732,485.16,187,18669.78,4105.2,821.04,187,19394.82,4515.72,903.14,187,4105.2,821.04,187,20844.9,4310.46,862.09,187,21569.94,4187.3,837.46,189,22476.24,4195.68,839.14,189,23201.28,4113.41,822.68,189,23563.8,4310.46,862.09,189,24288.84,4105.2,821.04,189,24470.1,4187.3,837.46,189,24959.5,4312.92,862.58
Tours Abroad Group,Rotherham,Specialist holidays tour operator and wholesaler,38555,3352,435.76,105,39711.65,3687.2,737.44,105,41253.85,4055.92,811.18,105,3687.2,737.44,105,44338.25,3871.56,774.31,105,45880.45,3760.94,752.19,107,47808.2,3768.47,753.69,107,49350.4,3694.57,738.91,107,50121.5,3871.56,774.31,107,51663.7,3687.2,737.44,107,52049.25,3760.94,752.19,107,53090.24,3873.77,774.75
Cidon,Barnsley,Civil engineering,15734,3310,430.3,43,16206.02,3641,728.2,43,16835.38,4005.1,801.02,43,3641,728.2,43,18094.1,3823.05,764.61,43,18723.46,3713.82,742.76,45,19510.16,3721.25,744.25,45,20139.52,3648.28,729.66,45,20454.2,3823.05,764.61,45,21083.56,3641,728.2,45,21240.9,3713.82,742.76,45,21665.72,3825.23,765.05
Eco-Power Environmental,Doncaster,Waste recycling,26277,3167,411.71,80,27065.31,3483.7,696.74,80,28116.39,3832.07,766.41,80,3483.7,696.74,80,30218.55,3657.89,731.58,80,31269.63,3553.37,710.67,82,32583.48,3560.48,712.1,82,33634.56,3490.67,698.13,82,34160.1,3657.89,731.58,82,35211.18,3483.7,696.74,82,35473.95,3553.37,710.67,82,36183.43,3659.98,732
Dransfield Properties Investments,Sheffield,Property development and investment,9867,3084,400.92,23,10163.01,3392.4,678.48,23,10557.69,3731.64,746.33,23,3392.4,678.48,23,11347.05,3562.02,712.4,23,11741.73,3460.25,692.05,25,12235.08,3467.17,693.43,25,12629.76,3399.18,679.84,25,12827.1,3562.02,712.4,25,13221.78,3392.4,678.48,25,13320.45,3460.25,692.05,25,13586.86,3564.06,712.81
Norton Finance Group,Rotherham,Advancing secured and unsecured loans throughout the UK,14725,3058,397.54,164,15166.75,3363.8,672.76,164,15755.75,3700.18,740.04,164,3363.8,672.76,164,16933.75,3531.99,706.4,164,17522.75,3431.08,686.22,166,18259,3437.94,687.59,166,18848,3370.53,674.11,166,19142.5,3531.99,706.4,166,19731.5,3363.8,672.76,166,19878.75,3431.08,686.22,166,20276.33,3534.01,706.8
Wild Life Group,Doncaster,General commercial activities,12941,3049,396.37,241,13329.23,3353.9,670.78,241,13846.87,3689.29,737.86,241,3353.9,670.78,241,14882.15,3521.6,704.32,241,15399.79,3420.98,684.2,243,16046.84,3427.82,685.56,243,16564.48,3360.61,672.12,243,16823.3,3521.6,704.32,243,17340.94,3353.9,670.78,243,17470.35,3420.98,684.2,243,17819.76,3523.61,704.72
National Floorcoverings Group,Matlock,Manufacture and supply of carpets and allied products,22828,2888,375.44,124,23512.84,3176.8,635.36,124,24425.96,3494.48,698.9,124,3176.8,635.36,124,26252.2,3335.64,667.13,124,27165.32,3240.34,648.07,126,28306.72,3246.82,649.36,126,29219.84,3183.15,636.63,126,29676.4,3335.64,667.13,126,30589.52,3176.8,635.36,126,30817.8,3240.34,648.07,126,31434.16,3337.55,667.51
Long Rake Spar Company,Bakewell,Processing and sale of calcite spar,26122,2799,363.87,84,26905.66,3078.9,615.78,84,27950.54,3386.79,677.36,84,3078.9,615.78,84,30040.3,3232.85,646.57,84,31085.18,3140.48,628.1,86,32391.28,3146.76,629.35,86,33436.16,3085.06,617.01,86,33958.6,3232.85,646.57,86,35003.48,3078.9,615.78,86,35264.7,3140.48,628.1,86,35969.99,3234.69,646.94
Lablogic Group,Sheffield,Supply of scientific data systems,14813,2697,350.61,89,15257.39,2966.7,593.34,89,15849.91,3263.37,652.67,89,2966.7,593.34,89,17034.95,3115.04,623.01,89,17627.47,3026.03,605.21,91,18368.12,3032.09,606.42,91,18960.64,2972.63,594.53,91,19256.9,3115.04,623.01,91,19849.42,2966.7,593.34,91,19997.55,3026.03,605.21,91,20397.5,3116.82,623.36
IFA Metals International,Sheffield,Manufacture of high integrity forged products,23284,2615,339.95,155,23982.52,2876.5,575.3,155,24913.88,3164.15,632.83,155,2876.5,575.3,155,26776.6,3020.33,604.07,155,27707.96,2934.03,586.81,157,28872.16,2939.9,587.98,157,29803.52,2882.25,576.45,157,30269.2,3020.33,604.07,157,31200.56,2876.5,575.3,157,31433.4,2934.03,586.81,157,32062.07,3022.05,604.41
Robinson Healthcare Group,Worksop,"Manufacture and distribution of personal hygiene, healthcare and veterinary products",24733,2431,316.03,158,25474.99,2674.1,534.82,158,26464.31,2941.51,588.3,158,2674.1,534.82,158,28442.95,2807.81,561.56,158,29432.27,2727.58,545.52,160,30668.92,2733.04,546.61,160,31658.24,2679.45,535.89,160,32152.9,2807.81,561.56,160,33142.22,2674.1,534.82,160,33389.55,2727.58,545.52,160,34057.34,2809.41,561.88
Utopia,Chesterfield,Design and creation of a full table and barware offer,35112,2421,314.73,110,36165.36,2663.1,532.62,110,37569.84,2929.41,585.88,110,2663.1,532.62,110,40378.8,2796.26,559.25,110,41783.28,2716.36,543.27,112,43538.88,2721.79,544.36,112,44943.36,2668.43,533.69,112,45645.6,2796.26,559.25,112,47050.08,2663.1,532.62,112,47401.2,2716.36,543.27,112,48349.22,2797.85,559.57
Westdale Group,Doncaster,External wall insulation and general contracting,16400,2420,314.6,63,16892,2662,532.4,63,17548,2928.2,585.64,63,2662,532.4,63,18860,2795.1,559.02,63,19516,2715.24,543.05,65,20336,2720.67,544.13,65,20992,2667.32,533.46,65,21320,2795.1,559.02,65,21976,2662,532.4,65,22140,2715.24,543.05,65,22582.8,2796.7,559.34
Go Green,Doncaster,Waste management brokers,25810,2419,314.47,100,26584.3,2660.9,532.18,100,27616.7,2926.99,585.4,100,2660.9,532.18,100,29681.5,2793.95,558.79,100,30713.9,2714.12,542.82,102,32004.4,2719.55,543.91,102,33036.8,2666.22,533.24,102,33553,2793.95,558.79,102,34585.4,2660.9,532.18,102,34843.5,2714.12,542.82,102,35540.37,2795.54,559.11
Roy Hatfield,Rotherham,"Processing and distribution of metals, minerals and solid fuels",33962,2337,303.81,35,34980.86,2570.7,514.14,35,36339.34,2827.77,565.55,35,2570.7,514.14,35,39056.3,2699.24,539.85,35,40414.78,2622.11,524.42,37,42112.88,2627.36,525.47,37,43471.36,2575.84,515.17,37,44150.6,2699.24,539.85,37,45509.08,2570.7,514.14,37,45848.7,2622.11,524.42,37,46765.67,2700.78,540.16
Liberty Group,Sheffield,"Manufacture, sale and hiring out of site cabins and equipment",13147,2320,301.6,101,13541.41,2552,510.4,101,14067.29,2807.2,561.44,101,2552,510.4,101,15119.05,2679.6,535.92,101,15644.93,2603.04,520.61,103,16302.28,2608.25,521.65,103,16828.16,2557.1,511.42,103,17091.1,2679.6,535.92,103,17616.98,2552,510.4,103,17748.45,2603.04,520.61,103,18103.42,2681.13,536.23
OSL Group,Sheffield,Manufacture and factoring of components and services in the markets of fire and security,24533,2314,300.82,192,25268.99,2545.4,509.08,192,26250.31,2799.94,559.99,192,2545.4,509.08,192,28212.95,2672.67,534.53,192,29194.27,2596.31,519.26,194,30420.92,2601.5,520.3,194,31402.24,2550.49,510.1,194,31892.9,2672.67,534.53,194,32874.22,2545.4,509.08,194,33119.55,2596.31,519.26,194,33781.94,2674.2,534.84
8point8 Support,Doncaster,Wireless telecommunications activities,22378,2313,300.69,175,23049.34,2544.3,508.86,175,23944.46,2798.73,559.75,175,2544.3,508.86,175,25734.7,2671.52,534.3,175,26629.82,2595.19,519.04,177,27748.72,2600.38,520.08,177,28643.84,2549.39,509.88,177,29091.4,2671.52,534.3,177,29986.52,2544.3,508.86,177,30210.3,2595.19,519.04,177,30814.51,2673.04,534.61
MB Group,Sheffield,Advertising and marketing,19365,2263,294.19,121,19945.95,2489.3,497.86,121,20720.55,2738.23,547.65,121,2489.3,497.86,121,22269.75,2613.77,522.75,121,23044.35,2539.09,507.82,123,24012.6,2544.16,508.83,123,24787.2,2494.28,498.86,123,25174.5,2613.77,522.75,123,25949.1,2489.3,497.86,123,26142.75,2539.09,507.82,123,26665.61,2615.26,523.05
Talasey,Doncaster,Import and distribution of stone and slate products,33618,2210,287.3,55,34626.54,2431,486.2,55,35971.26,2674.1,534.82,55,2431,486.2,55,38660.7,2552.55,510.51,55,40005.42,2479.62,495.92,57,41686.32,2484.58,496.92,57,43031.04,2435.86,487.17,57,43703.4,2552.55,510.51,57,45048.12,2431,486.2,57,45384.3,2479.62,495.92,57,46291.99,2554.01,510.8
Kybotech,Worksop,"Manufacturing, retailing and distribution of garden products",22689,2114,274.82,118,23369.67,2325.4,465.08,118,24277.23,2557.94,511.59,118,2325.4,465.08,118,26092.35,2441.67,488.33,118,26999.91,2371.91,474.38,120,28134.36,2376.65,475.33,120,29041.92,2330.05,466.01,120,29495.7,2441.67,488.33,120,30403.26,2325.4,465.08,120,30630.15,2371.91,474.38,120,31242.75,2443.07,488.61
Roofdec,Barnsley,Roofing and cladding contractors,22405,2100,273,46,23077.15,2310,462,46,23973.35,2541,508.2,46,2310,462,46,25765.75,2425.5,485.1,46,26661.95,2356.2,471.24,48,27782.2,2360.91,472.18,48,28678.4,2314.62,462.92,48,29126.5,2425.5,485.1,48,30022.7,2310,462,48,30246.75,2356.2,471.24,48,30851.69,2426.89,485.38
Rotor Clip,Sheffield,Supply of retaining rings,17654,2085,271.05,139,18183.62,2293.5,458.7,139,18889.78,2522.85,504.57,139,2293.5,458.7,139,20302.1,2408.18,481.64,139,21008.26,2339.37,467.87,141,21890.96,2344.05,468.81,141,22597.12,2298.09,459.62,141,22950.2,2408.18,481.64,141,23656.36,2293.5,458.7,141,23832.9,2339.37,467.87,141,24309.56,2409.55,481.91
